X, Y, Z
-2.399563, 3.899794, 87.053596
-2.396442, 3.919413, 87.106148
-2.395682, 3.923695, 87.156784
-2.396942, 3.942815, 87.200996
-2.391362, 3.957316, 87.233627
-2.387021, 3.975755, 87.282570
-2.381140, 3.985813, 87.327354
-1.511220, 3.460092, 54.223888
-0.379562, 2.978577, -9.482162
-0.121797, 3.252229, -24.987885
-0.260957, 3.365827, -18.290279
-0.241058, 3.375607, -18.271070
-0.215278, 3.343972, -21.306225
-0.186368, 3.325647, -21.362963
-0.184088, 3.313505, -21.357996
-0.174349, 3.312983, -21.351715
-0.170788, 3.312243, -21.341280
-0.164189, 3.305885, -21.328667
-0.159190, 3.306664, -21.302879
-0.157352, 3.304324, -21.282896
-0.155252, 3.301063, -21.259394
-0.146033, 3.307443, -21.250032
-0.137413, 3.307145, -21.233591
-0.129594, 3.306645, -21.218945
-0.124913, 3.306145, -21.195646
-0.116513, 3.303364, -21.188351
-0.109973, 3.306645, -21.172327
-0.098873, 3.304006, -21.162086
-0.093872, 3.311305, -21.156288
-0.093412, 3.309403, -21.140265
-0.085712, 3.304003, -21.121889
-0.067773, 3.302882, -21.114321
-0.067232, 3.300581, -21.097784
-0.064934, 3.302361, -21.078983
-0.062954, 3.302683, -21.064322
-0.051414, 3.302742, -21.041061
-0.044273, 3.307683, -21.028648
-0.035353, 3.310503, -21.011408
-0.021613, 3.319363, -21.002012
-0.010953, 3.322503, -20.979204
-0.004654, 3.328402, -20.955061
0.000247, 3.335761, -20.939381
0.004028, 3.338120, -20.935219
0.013088, 3.345700, -20.923323
0.017209, 3.354881, -20.901802
0.021909, 3.362741, -20.886929
0.032249, 3.364440, -20.875523
0.035890, 3.363860, -20.871202
0.044689, 3.370840, -20.859047
0.048049, 3.365140, -20.846945
0.061990, 3.360179, -20.824078
0.077550, 3.358578, -20.811941
0.085269, 3.357499, -20.794064
0.096449, 3.361558, -20.782145
0.100129, 3.360918, -20.770790
0.111128, 3.362198, -20.760874
0.127009, 3.362679, -20.746477
0.133710, 3.367938, -20.728407
0.147769, 3.367739, -20.714350
0.158550, 3.366379, -20.707758
0.172391, 3.360261, -20.684757
0.182011, 3.360942, -20.674767
0.191932, 3.356102, -20.651266
0.199691, 3.349763, -20.637356
0.204811, 3.345683, -20.621962
0.215830, 3.340202, -20.607729
0.225871, 3.343982, -20.596813
0.223891, 3.348101, -20.583689
0.234109, 3.350001, -20.561869
0.240409, 3.355582, -20.545067
0.245350, 3.361403, -20.532049
0.249790, 3.363384, -20.513233
